Isotope	Element	Mass_Isotope	conc	Coh_b	realCoh_b	ImCoh_b	Inc_b	realInc_b	ImInc_b	Coh_xs	Inc_xs	Scatt_xs	Abs_xs
101Ru	Ru	101	17	---	---	---	---	---	---	---	---	---	3.3
102Ru	Ru	102	31.6	---	---	---	0	0	0	---	0	144.8	1.17
104Ru	Ru	104	18.7	---	---	---	0	0	0	---	0	4.483	0.31
Rh	Rh	---	100	5.88	5.88	0.0	---	---	---	4.34	0.3	4.6	144.8
Pd	Pd	---	---	5.91	5.91	0.0	---	---	---	4.39	0.093	4.48	6.9
102Pd	Pd	102	1.02	7.7(7)	7.7(7)	0.0	0	0	0	7.5(1.4)	0	7.5(1.4)	3.4
104Pd	Pd	104	11.14	7.7(7)	7.7(7)	0.0	0	0	0	7.5(1.4)	0	7.5(1.4)	0.6
105Pd	Pd	105	22.33	5.5	5.5	0.0	-2.6(1.6)	-2.6(1.6)	0.0	3.8	0.8	4.6(1.1)	20.(3.)
106Pd	Pd	106	27.33	6.4	6.4	0.0	0	0	0	5.1	0	5.1	0.304
108Pd	Pd	108	26.46	4.1	4.1	0.0	0	0	0	2.1	0	2.1	8.55
110Pd	Pd	110	11.72	7.7(7)	7.7(7)	0.0	0	0	0	7.5(1.4)	0	7.5(1.4)	0.226
Ag	Ag	---	---	5.922	5.922	0.0	---	---	---	4.407	0.58	4.99	63.3
107Ag	Ag	107	51.83	7.555	7.555	0.0	1.00	1.00	0.0	7.17	0.13	7.3	37.6(1.2)
109Ag	Ag	109	48.17	4.165	4.165	0.0	-1.60	-1.60	0.0	2.18	0.32	2.5	91.0(1.0)
Cd	Cd	---	---	4.87-0.70i	4.87	-0.70	---	---	---	3.04	3.46	6.5	2520.(50.)
106Cd	Cd	106	1.25	5.(2.)	5.(2.)	0.0	0	0	0	3.1	0	3.1(2.5)	1
108Cd	Cd	108	0.89	5.4	5.4	0.0	0	0	0	3.7	0	3.7	1.1
110Cd	Cd	110	12.51	5.9	5.9	0.0	0	0	0	4.4	0	4.4	11
111Cd	Cd	111	12.81	6.5	6.5	0.0	---	---	---	5.3	0.3	5.6	24
112Cd	Cd	112	24.13	6.4	6.4	0.0	0	0	0	5.1	0	5.1	2.2
113Cd	Cd	113	12.22	-8.0-5.73i	-8.0	-5.73	---	---	---	12.1	0.3	12.4	20600.(400.)
114Cd	Cd	114	28.72	7.5	7.5	0.0	0	0	0	7.1	0	7.1	0.34
116Cd	Cd	116	7.47	6.3	6.3	0.0	0	0	0	5	0	5	0.075
In	In	---	---	4.065-0.0539i	4.065	-0.0539	---	---	---	2.08	0.54	2.62	193.8(1.5)
113In	In	113	4.3	5.39	5.39	0.0	(+/-)0.017	(+/-)0.017	0.0	3.65	0.000037	3.65	12.0(1.1)
115In	In	115	95.7	4.01-0.0562i	4.01	-0.0562	-2.1	-2.1	0.0	2.02	0.55	2.57	202.(2.)
Sn	Sn	---	---	6.225	6.225	0.0	---	---	---	4.871	0.022	4.892	0.626
112Sn	Sn	112	1	6.(1.)	6.(1.)	0.0	0	0	0	4.5(1.5)	0	4.5(1.5)	1
114Sn	Sn	114	0.7	6.2	6.2	0.0	0	0	0	4.8	0	4.8	0.114
115Sn	Sn	115	0.4	6.(1.)	6.(1.)	0.0	---	---	---	4.5(1.5)	0.3	4.8(1.5)	30.(7.)
116Sn	Sn	116	14.7	5.93	5.93	0.0	0	0	0	4.42	0	4.42	0.14
117Sn	Sn	117	7.7	6.48	6.48	0.0	---	---	---	5.28	0.3	5.6	2.3
118Sn	Sn	118	24.3	6.07	6.07	0.0	0	0	0	4.63	0	4.63	0.22
119Sn	Sn	119	8.6	6.12	6.12	0.0	---	---	---	4.71	0.3	5	2.2
120Sn	Sn	120	32.4	6.49	6.49	0.0	0	0	0	5.29	0	5.29	0.14
