Atomic_number	Element	Isotopes	Mass	Concentration	bc	bc_error	r_bi	r_bi_error	im_bi	im_bi_error	sigma_a	sigma_a_error	Inc_xs	siggam	sigma_i	
50	Sn	118	117.901603	24.3	6.07	0.05	0	0	0	0	0.22	0.05	0	0	1	
50	Sn	119	118.903308	8.6	6.12	0.05	---	0	---	0	2.2	0.5	0.3	3	0.1	
50	Sn	120	119.902195	32.4	6.49	0.05	0	0	0	0	0.14	0.03	0	0	1	
50	Sn	122	121.903439	4.6	5.74	0.05	0	0	0	0	0.18	0.02	0	0	1	
50	Sn	124	123.905274	5.6	5.97	0.05	0	0	0	0	0.133	0.005	0	0	1	
51	Sb	---	121.76	---	5.57	0.03	---	0	---	0	4.91	0.05	0.00	7	0.01	
51	Sb	121	120.903816	57.3	5.71	0.06	-0.05	0.15	0.0	0	5.75	0.12	0.0003	19	0.0001	
51	Sb	123	122.904214	42.7	5.38	0.07	-0.10	0.15	0.0	0	3.8	0.2	0.001	4	0.001	
52	Te	---	127.6	---	5.80	0.03	---	0	---	0	4.7	0.1	0.09	6	0.01	
52	Te	120	119.904020	0.096	5.3	0.5	0	0	0	0	2.3	0.3	0	0	1	
52	Te	122	121.903044	2.6	3.8	0.2	0	0	0	0	3.4	0.5	0	0	1	
52	Te	123	122.904270	0.908	-0.05	0.25	-2.04	0.09	0.0	0	418	30	0.52	5	0.01	
52	Te	124	123.902818	4.816	7.96	0.1	0	0	0	0	6.8	1.3	0	0	1	
52	Te	125	124.904431	7.14	5.02	0.08	-0.26	0.13	0.0	0	1.55	0.16	0.008	8	0.001	
52	Te	126	125.903312	18.95	5.56	0.07	0	0	0	0	1.04	0.15	0	0	1	
52	Te	128	127.904463	31.69	5.89	0.07	0	0	0	0	0.215	0.008	0	0	1	
52	Te	130	129.906224	33.8	6.02	0.07	0	0	0	0	0.29	0.06	0	0	1	
53	I	---	126.90447	100	5.28	0.02	1.58	0.15	0.0	0	6.15	0.06	0.31	6	0.01	
54	Xe	---	131.293	---	4.92	0.03	---	0	0.0	0	23.9	1.2	0	0	1	
54	Xe	124	123.905893	0.1	---	---	0	0	0	0	165	20	0	0	1	
54	Xe	126	125.904274	0.09	---	---	0	0	0	0	3.5	0.8	0	0	1	
54	Xe	128	127.903531	1.91	---	---	0	0	0	0	---	0	0	0	1	
54	Xe	129	128.904779	26.4	---	---	---	0	---	0	21	5	---	---	---	
54	Xe	130	129.903508	4.1	---	---	0	0	0	0	---	0	0	0	1	
54	Xe	131	130.905082	21.2	---	---	---	0	---	0	85	10	---	---	---	
